timestamp,qw,qx,qy,qz,altitude,ax,ay,az,gx,gy,gz,temp
4948167,0.99,0.11,0.07,-0.01,-0.03,-1.37,2.10,9.66,-0.01,-0.03,-0.02,27.65
4957782,0.99,0.11,0.07,-0.01,-0.03,-1.37,2.10,9.66,-0.01,0.04,-0.02,27.65
4967397,0.99,0.11,0.07,-0.01,-0.03,-1.36,2.10,9.67,-0.01,-0.03,-0.02,27.65
4977012,0.99,0.11,0.07,-0.01,0.14,-1.35,2.10,9.67,-0.08,-0.03,-0.02,27.60
4986627,0.99,0.11,0.07,-0.01,0.14,-1.37,2.12,9.65,-0.08,-0.03,-0.02,27.60
4996242,0.99,0.11,0.07,-0.01,0.14,-1.36,2.10,9.65,-0.08,0.04,-0.02,27.62
5005857,0.99,0.11,0.07,-0.01,0.14,-1.36,2.11,9.66,-0.01,-0.03,-0.02,27.62
5015472,0.99,0.11,0.07,-0.01,0.14,-1.36,2.11,9.66,-0.01,0.04,-0.02,27.64
5025087,0.99,0.11,0.07,-0.01,0.14,-1.36,2.11,9.67,-0.08,-0.03,-0.02,27.64
5034702,0.99,0.11,0.07,-0.01,-0.10,-1.35,2.10,9.66,-0.08,0.04,-0.02,27.58
5044317,0.99,0.11,0.07,-0.01,-0.10,-1.36,2.10,9.66,-0.08,-0.03,-0.02,27.58
5053932,0.99,0.11,0.07,-0.01,-0.10,-1.35,2.10,9.66,-0.01,-0.03,-0.02,27.61
5063547,0.99,0.11,0.07,-0.01,-0.10,-1.36,2.11,9.65,-0.01,0.04,-0.02,27.61
5073162,0.99,0.11,0.07,-0.01,-0.10,-1.36,2.10,9.66,-0.01,0.04,0.05,27.64
5082777,0.99,0.11,0.07,-0.01,-0.10,-1.38,2.11,9.67,-0.01,0.04,0.05,27.64
5092392,0.99,0.11,0.07,-0.01,-0.10,-1.38,2.09,9.64,0.06,0.04,-0.02,27.64
5102007,0.99,0.11,0.07,-0.01,-0.21,-1.35,2.10,9.66,0.13,0.04,0.05,27.64
5111622,0.99,0.11,0.07,-0.01,-0.21,-1.35,2.10,9.66,0.13,0.04,-0.02,27.60
5121237,0.99,0.11,0.07,-0.01,-0.21,-1.37,2.10,9.66,0.13,0.04,-0.02,27.60
5130852,0.99,0.11,0.07,-0.01,-0.21,-1.36,2.11,9.67,0.06,0.04,-0.02,27.62
5140467,0.99,0.11,0.07,-0.01,-0.21,-1.39,2.11,9.65,-0.01,0.04,0.05,27.62
5150082,0.99,0.11,0.07,-0.01,-0.21,-1.37,2.11,9.66,-0.01,0.04,-0.02,27.62
5159697,0.99,0.11,0.07,-0.01,-0.21,-1.35,2.11,9.64,-0.01,-0.03,0.05,27.62
5169312,0.99,0.11,0.07,-0.01,-0.18,-1.36,2.10,9.65,-0.01,0.04,-0.02,27.61
5178927,0.99,0.11,0.07,-0.01,-0.18,-1.36,2.10,9.65,-0.01,0.04,-0.02,27.61
5188542,0.99,0.11,0.07,-0.01,-0.18,-1.37,2.11,9.66,0.06,0.04,-0.02,27.63
5198157,0.99,0.11,0.07,-0.01,-0.18,-1.37,2.10,9.65,0.06,0.04,-0.02,27.63
5207772,0.99,0.11,0.07,-0.01,-0.18,-1.36,2.10,9.66,-0.01,0.04,-0.02,27.64
5217387,0.99,0.11,0.07,-0.01,-0.18,-1.36,2.10,9.66,-0.08,0.04,0.05,27.64
5227002,0.99,0.11,0.07,-0.01,-0.18,-1.36,2.10,9.65,-0.01,0.04,0.05,27.63
5236617,0.99,0.11,0.07,-0.01,-0.08,-1.36,2.10,9.65,0.06,0.04,0.05,27.63
5246232,0.99,0.11,0.07,-0.01,-0.08,-1.34,2.10,9.65,-0.01,-0.03,0.05,27.62
5255847,0.99,0.11,0.07,-0.01,-0.08,-1.37,2.10,9.66,-0.01,0.04,0.05,27.62
5265462,0.99,0.11,0.07,-0.01,-0.08,-1.37,2.11,9.66,0.06,0.04,-0.02,27.63
5275077,0.99,0.11,0.07,-0.01,-0.08,-1.36,2.11,9.65,-0.01,0.04,0.05,27.63
5284692,0.99,0.11,0.07,-0.01,-0.08,-1.35,2.08,9.67,-0.01,0.04,0.05,27.63
5294307,0.99,0.11,0.07,-0.01,-0.08,-1.38,2.11,9.64,-0.08,0.04,0.05,27.67
5303922,0.99,0.11,0.07,-0.01,-0.01,-1.38,2.10,9.65,0.06,0.04,0.05,27.67
5313537,0.99,0.11,0.07,-0.01,-0.01,-1.36,2.10,9.66,0.13,0.04,-0.02,27.62
5323152,0.99,0.11,0.07,-0.01,-0.01,-1.38,2.11,9.66,0.13,0.04,-0.02,27.62
5332767,0.99,0.11,0.07,-0.01,-0.01,-1.37,2.12,9.66,-0.08,-0.03,-0.02,27.61
5342382,0.99,0.11,0.07,-0.01,-0.01,-1.37,2.12,9.66,-0.22,-0.03,0.05,27.61
5351997,0.99,0.11,0.07,-0.01,-0.01,-1.34,2.10,9.66,-0.15,0.04,-0.02,27.60
5361612,0.99,0.11,0.07,-0.01,-0.13,-1.37,2.10,9.65,-0.01,0.04,-0.02,27.60
5371227,0.99,0.11,0.07,-0.01,-0.13,-1.35,2.11,9.65,0.06,-0.03,-0.02,27.62
5380842,0.99,0.11,0.07,-0.01,-0.13,-1.38,2.12,9.66,-0.01,-0.03,-0.02,27.62
5390457,0.99,0.11,0.07,-0.01,-0.13,-1.37,2.12,9.66,-0.08,-0.03,-0.02,27.62
